X,Y,apn,OBJECTID,licenseNumber,licenseType,licenseStatus,liquorType,issueDate,expirationYear,expirationDate,licenseName,address,endorsements,ward,neighborhood,lat,long,xWebMercator,yWebMercator,lastUpdateDate
-93.220887706639104,44.921355163026277,0702823340164,1,LIC353846,BLBrewery,Pending,Off Sale,2019-03-13T22:31:41.000Z,2019,2019-10-01T00:00:00.000Z,VENN BREWING COMPANY,3550 46TH ST E, Off Sale Malt Liquor - Growler,12,Ericsson,44.92136,-93.22089,-10377301.7508,5609148.9517,2019-07-19T18:16:17.000Z
-93.246910488268412,44.967159864057777,2502924320614,2,LIC54106,BLLiqOff,Approved,Off Sale,2016-04-01T00:00:00.000Z,2020,2020-04-01T00:00:00.000Z,CEDAR RIVERSIDE LIQUOR STORE,617 CEDAR AVE S,,6,Cedar Riverside,44.96716,-93.24691,-10380198.5936,5616352.9597,2019-05-08T18:16:15.000Z
-93.240066433426165,44.991749950875494,1302924340082,3,LIC360439,BLLiqOff,Approved,Off Sale,2018-05-21T08:19:19.000Z,2020,2020-01-01T23:59:59.000Z,OMBIBULOUS,949 HENNEPIN AVE E,,3,Beltrami,44.99175,-93.24007,-10379436.7169,5620222.7783,2019-01-24T18:16:20.000Z
-93.275134517839604,44.976409956152771,2702924120125,4,LIC353673,BLBrewery,Pending,Off Sale,2019-04-16T11:07:49.000Z,2019,2019-10-01T00:00:00.000Z,ROCK BOTTOM BREWERY,800 LASALLE AVE, Off Sale Malt Liquor - Growler,7,Downtown West,44.97641,-93.27513,-10383340.4782,5617808.4808,2019-07-19T18:16:17.000Z
-93.253187764556884,44.9749741980199,2602924120065,5,LIC353682,BLBrewery,Pending,Off Sale,2019-04-01T22:32:10.000Z,2019,2019-10-01T00:00:00.000Z,DAY BLOCK BREWING COMPANY,1105 WASHINGTON AVE S, Off Sale Malt Liquor - Growler,3,Downtown East,44.97497,-93.25319,-10380897.3768,5617582.5459,2019-07-19T18:16:17.000Z
-93.252058773585887,44.994307381930163,1402924440038,6,LIC53973,BLLiqOff,Inactive,Off Sale,2016-04-01T00:00:00.000Z,2017,2017-04-01T00:00:00.000Z,GOPHER LIQUOR STORE,335 MONROE ST NE,,3,St. Anthony East,44.99431,-93.25206,-10380771.6981,5620625.3445,2018-05-25T18:20:11.000Z
-93.27713675840333,44.993630259812143,1502924430015,7,LIC351669,BLBrewery,Approved,Off Sale,2019-04-23T07:50:22.000Z,2020,2020-04-01T23:59:59.000Z,PRYES BREWING,1401 WEST RIVER RD N, Off Sale Malt Liquor - Growler,5,Near - North,44.99363,-93.27714,-10383563.3666,5620518.7567,2019-04-24T18:16:16.000Z
-93.246930781210693,45.021288916722312,0102924330121,8,LIC330966,BLDistill,Approved,Off Sale,2019-07-16T08:13:05.000Z,2020,2020-01-01T00:00:00.000Z,TWIN SPIRITS DISTILLERY,2931 CENTRAL AVE NE," Distillery, Off-Sale Distilled Spirits",1,Audubon Park,45.02129,-93.24693,-10380200.8526,5624873.6133,2019-07-17T18:16:16.000Z
-93.27713675840333,44.993630259812143,1502924430015,9,LIC351669,BLBrewery,Approved,Off Sale,2019-04-23T07:50:22.000Z,2020,2020-04-01T23:59:59.000Z,PRYES BREWING,1401 WEST RIVER RD N, Off Sale Malt Liquor - Growler,5,Near - North,44.99363,-93.27714,-10383563.3666,5620518.7567,2019-04-24T18:16:16.000Z
-93.27183904282991,44.984520881048958,2202924140082,10,LIC54014,BLLiqOff,Approved,Off Sale,2016-04-01T00:00:00.000Z,2020,2020-04-01T00:00:00.000Z,NORTH LOOP WINE AND SPIRITS,218 WASHINGTON AVE N,,3,North Loop,44.98452,-93.27184,-10382973.6276,5619084.9448,2019-04-24T18:16:16.000Z
